arrest_id_univ,person_id,filing_date_univ,age_at_arrest,sex,race,arrest_id_event,filing_date_event,charge_degree,offense_category,y,current_charge_felony,num_fel_arrests_last_year
4871957,2778,2017-11-05,29.649315068493152,M,mixed,10893624,2013-01-07,misdemeanor,property,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,5086582,2017-10-01,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,5542493,2017-07-06,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,5231180,2017-09-07,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,5971286,2017-03-26,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,6444445,2016-11-12,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,3819130,2018-05-04,misdemeanor,property,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,10943242,2012-12-16,misdemeanor,drug,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,11303842,2012-08-12,misdemeanor,property,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,11105983,2012-10-18,felony,violent,0,1,0
3819130,2870,2018-05-04,38.43835616438356,M,White,8896745,2014-11-12,misdemeanor,other,0,0,0
3819130,2870,2018-05-04,38.43835616438356,M,White,6036259,2017-03-07,misdemeanor,property,0,0,0
7383051,3484,2016-03-06,38.0,M,Black,812090,2019-10-16,felony,property,0,1,0
7383051,3484,2016-03-06,38.0,M,Black,4760305,2017-11-25,felony,violent,0,1,0
7383051,3484,2016-03-06,38.0,M,Black,1781878,2019-05-04,misdemeanor,violent,0,0,0
7383051,3484,2016-03-06,38.0,M,Black,2494778,2018-12-24,misdemeanor,violent,0,0,0
7383051,3484,2016-03-06,38.0,M,Black,7383051,2016-03-06,misdemeanor,property,0,0,0
7383051,3484,2016-03-06,38.0,M,Black,1863547,2019-04-18,misdemeanor,violent,0,0,0
7383051,3484,2016-03-06,38.0,M,Black,936287,2019-09-22,felony,property,0,1,0
6370773,3909,2016-12-01,47.17260273972602,M,White,8403278,2015-04-24,misdemeanor,other,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,8973210,2014-10-15,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,9465089,2014-05-12,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6211284,2017-01-23,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6211285,2017-01-23,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6249872,2017-01-11,felony,property,1,1,1
6370773,3909,2016-12-01,47.17260273972602,M,White,10537708,2013-05-14,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6370772,2016-12-01,misdemeanor,property,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6370773,2016-12-01,felony,property,1,1,1
6370773,3909,2016-12-01,47.17260273972602,M,White,10809059,2013-02-07,misdemeanor,violent,1,0,1
6370773,3909,2016-12-01,47.17260273972602,M,White,6374427,2016-11-30,felony,property,1,1,1
6370773,3909,2016-12-01,47.17260273972602,M,White,10729887,2013-03-07,misdemeanor,other,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,5920061,2017-04-06,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4236055,2018-03-05,misdemeanor,violent,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4236057,2018-03-05,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,3786337,2018-05-10,felony,property,1,1,1
4609251,4741,2017-12-21,33.49589041095891,M,White,5771775,2017-05-15,misdemeanor,property,1,0,1
4609251,4741,2017-12-21,33.49589041095891,M,White,4740711,2017-11-28,misdemeanor,property,1,0,1
